player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,ts,od,div
Nic Claxton,C,22,BRK,47,19,974,8.9,13.1,0.674,0,0,NA,8.9,13.1,0.674,2.7,4.6,0.581,4.5,8.6,13.1,2.1,1.2,2.5,1.9,5.5,20.4,130,111,0.674424755355726,1.1711711711711712,A
Amir Coffey,SG,24,LAC,69,30,1567,6.6,14.6,0.453,3,7.9,0.378,3.6,6.6,0.542,3.2,3.7,0.863,0.8,5.3,6.2,3.9,1.2,0.5,1.4,2.7,19.4,120,113,0.5977323145181167,1.0619469026548674,P
John Collins,PF,24,ATL,54,53,1663,10,19,0.526,1.9,5.2,0.364,8.1,13.8,0.588,4,5,0.793,2.7,9.7,12.5,2.9,1,1.7,1.8,4.8,25.9,122,114,0.6108490566037735,1.0701754385964912,SE
Mike Conley,PG,34,UTA,72,72,2058,8.3,19,0.435,4.1,9.9,0.408,4.2,9.1,0.464,3.1,3.9,0.796,1.1,4.1,5.2,9.2,2.3,0.5,3,3.4,23.7,120,111,0.5720216257964857,1.0810810810810811,NW
Pat Connaughton,SF,29,MIL,65,19,1691,6.4,14.1,0.458,4.1,10.5,0.395,2.3,3.6,0.643,1.3,1.5,0.833,1.3,6.5,7.8,2.3,1.7,0.4,1,2.4,18.3,124,113,0.6199186991869919,1.0973451327433628,C
DeMarcus Cousins,C,31,TOT,48,7,718,10.1,21.9,0.46,2.5,8.3,0.303,7.6,13.7,0.554,6.4,8.5,0.76,5,13.3,18.3,4.8,2.4,1.4,5.8,9.4,29.1,105,106,0.5674726989079564,0.9905660377358491,NA
Robert Covington,PF,31,TOT,71,42,1940,5.3,12.6,0.42,3.2,8.5,0.378,2,4,0.509,1.5,1.7,0.841,1.5,8.4,9.9,2.3,2.6,2.3,1.9,4.8,15.2,108,110,0.5693736889421637,0.9818181818181818,NA
Robert Covington,PF,31,POR,48,40,1431,4.4,11.5,0.381,2.7,7.9,0.343,1.7,3.6,0.462,1,1.2,0.833,1.4,8,9.4,2.3,2.5,2.2,2,4.5,12.5,100,113,0.5196208846025939,0.8849557522123894,NW
Torrey Craig,SF,31,TOT,78,16,1596,6.1,13.4,0.454,2.3,7.1,0.329,3.8,6.3,0.594,1.2,1.6,0.75,2.6,6.8,9.5,2.8,1.4,1.1,2,4.6,15.7,110,113,0.5565796937039137,0.9734513274336283,NA
Torrey Craig,SF,31,IND,51,14,1034,6.1,13.3,0.456,2.2,6.5,0.333,3.9,6.8,0.573,1.3,1.7,0.771,2.8,6.4,9.2,2.7,1.1,0.9,1.8,4.5,15.6,112,117,0.5552391799544419,0.9572649572649573,C
Jae Crowder,PF,31,PHO,67,67,1886,5.5,13.9,0.399,3.2,9.3,0.348,2.3,4.6,0.503,1.8,2.3,0.789,0.8,8.3,9,3.2,2.4,0.8,1.4,4.4,16.1,109,105,0.5398336909871245,1.0380952380952382,NA
Cade Cunningham,SG,20,DET,64,64,2088,10,24.1,0.416,2.7,8.5,0.314,7.4,15.6,0.472,3.3,3.9,0.845,1.4,6.9,8.3,8.3,1.8,1,5.5,4.7,26,96,113,0.5035636814378679,0.8495575221238938,C
Seth Curry,SG,31,TOT,64,64,2135,8.3,17.1,0.487,3.7,8.7,0.422,4.7,8.5,0.553,1.9,2.2,0.872,0.5,4.1,4.6,5.3,1.2,0.3,2.5,3.4,22.3,115,115,0.6171131281824219,1,NA
Seth Curry,SG,31,PHI,45,45,1566,8.2,16.8,0.485,3.2,8,0.4,5,8.9,0.561,2,2.3,0.877,0.5,4.3,4.8,5.8,1.1,0.4,2.7,3.2,21.5,113,115,0.6035257130024702,0.9826086956521739,A
Stephen Curry,PG,33,GSW,64,64,2211,11.8,27,0.437,6.3,16.5,0.38,5.5,10.5,0.527,6.1,6.6,0.923,0.7,6.6,7.4,8.9,1.9,0.5,4.5,2.9,35.9,115,108,0.6002541466024612,1.0648148148148149,P
