"","player","pos","age","tm","g","gs","mp","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","ortg","drtg","ts","od","div"
"281","Terrence Ross","SG",30,"ORL",63,0,1448,7.3,18.5,0.397,2.6,8.8,0.292,4.8,9.7,0.493,3.7,4.3,0.862,0.7,4.7,5.4,3.9,0.9,0.4,2.5,2.3,21,100,116,0.514907806983131,0.862068965517241,"SE"
"282","Terry Rozier","SG",27,"CHO",73,73,2458,10.1,22.8,0.444,4.3,11.6,0.374,5.8,11.2,0.516,2.9,3.4,0.852,1.1,5.1,6.1,6.4,1.8,0.5,1.9,2.3,27.5,117,115,0.565936779716826,1.01739130434783,"SE"
"283","D'Angelo Russell","PG",25,"MIN",65,65,2077,9.2,22.3,0.411,4,11.9,0.34,5.2,10.5,0.492,4.5,5.5,0.825,0.6,4.4,4.9,10.5,1.4,0.5,3.8,3,26.9,112,115,0.544093851132686,0.973913043478261,"NW"
"284","Domantas Sabonis","PF",25,"TOT",62,61,2136,10.1,17.6,0.573,0.9,2.9,0.312,9.2,14.8,0.623,5.6,7.6,0.741,4.6,12.6,17.2,7.4,1.3,0.6,4.5,4.6,26.7,121,113,0.637414056531703,1.07079646017699,NA
"285","Tomáš Satoranský","SG",30,"TOT",55,13,906,3.9,10.4,0.377,0.6,2.9,0.208,3.3,7.5,0.442,2.3,2.9,0.796,1.5,5.4,6.9,10,1.6,0.3,2.5,3.9,10.8,109,115,0.462487153134635,0.947826086956522,NA
"286","Dennis Schröder","SG",28,"TOT",64,29,1837,8.4,19.4,0.431,2.3,6.7,0.344,6.1,12.7,0.477,4.2,4.9,0.853,0.9,4.8,5.7,7.9,1.4,0.2,3.8,4.1,23.2,107,112,0.538133234366302,0.955357142857143,NA
"287","Alperen Şengün","C",19,"HOU",72,13,1489,8,16.8,0.474,0.9,3.7,0.248,7,13,0.539,5.3,7.4,0.711,4.4,8.2,12.6,5.9,1.9,2.2,4.6,6.8,22.1,107,113,0.550957319505385,0.946902654867257,"SW"
"288","Landry Shamet","SG",24,"PHO",69,14,1437,6.4,16.2,0.394,4.1,11.2,0.368,2.3,5.1,0.45,2.3,2.7,0.84,0.5,3.7,4.2,3.6,0.9,0.3,1.4,3.1,19.2,111,112,0.552104899930987,0.991071428571429,NA
"289","Pascal Siakam","PF",27,"TOR",68,68,2578,11.6,23.4,0.494,1.5,4.2,0.344,10.1,19.2,0.527,5.5,7.3,0.749,2.5,8.8,11.2,7,1.6,0.8,3.5,4.4,30.1,116,110,0.565534345408087,1.05454545454545,"A"
"290","Anfernee Simons","SG",22,"POR",57,30,1681,10.3,23.2,0.443,5.2,12.8,0.405,5.1,10.3,0.49,3,3.4,0.888,0.8,3.6,4.4,6.4,0.9,0.2,3.3,3.2,28.7,112,121,0.581065759637188,0.925619834710744,"NW"
"291","Marcus Smart","PG",27,"BOS",71,71,2296,6.5,15.5,0.418,2.6,7.8,0.331,3.9,7.7,0.506,3.1,3.9,0.793,0.9,4.9,5.8,9,2.6,0.4,3.4,3.5,18.6,110,107,0.540195167286245,1.02803738317757,"A"
"292","Ish Smith","PG",33,"TOT",65,1,1126,8,18.6,0.43,1.1,2.9,0.373,6.9,15.7,0.441,0.6,1,0.625,1.1,5,6.1,10.6,2,1,3.4,3.4,17.8,101,114,0.467436974789916,0.885964912280702,NA
"293","Jalen Smith","PF",21,"TOT",51,8,925,9.3,18.4,0.503,2.1,6.4,0.328,7.1,12,0.596,4.1,5.4,0.765,5.3,10.8,16.1,1.3,0.8,2.2,2.2,5,24.7,119,111,0.594435887562572,1.07207207207207,NA
"294","Tony Snell","SG",30,"TOT",53,12,823,4.1,10.2,0.404,2.7,7.6,0.352,1.4,2.6,0.558,0.2,0.2,1,1,5.2,6.1,1.7,1,0.5,1.1,4.2,11.1,106,119,0.539463452566097,0.890756302521008,NA
"295","Lance Stephenson","PG",31,"TOT",46,1,814,8.8,19.4,0.455,1.6,5.4,0.3,7.2,14,0.515,3.8,4.8,0.788,0.7,6.9,7.6,9.9,1.4,0.2,4.3,5.8,23.1,107,117,0.536909631833395,0.914529914529914,NA
